duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
The Legend Tower,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,73.0,-1.0
Mỹ Đình I,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,105.0,2.0
Đồng Phát Park View Tower,,,2.0,,,Quận Hoàng Mai,75.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Phúc La,Quận Hà Đông,85.0,-1.0
HH1 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,82.0,2.0
Bohemia Residence,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,135.0,2.0
Mỹ Đình I,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,71.0,2.0
Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Xã Tân Lập,Huyện Đan Phượng,55.0,-1.0
,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,128.0,-1.0
335 Cầu Giấy,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,125.0,2.0
KĐT Linh Đàm,,,3.0,,,Quận Hoàng Mai,82.0,2.0
Goldmark City,,,2.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,78.0,2.0
,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,102.0,-1.0
,,,3.0,9.0,Phường Cầu Diễn,Quận Nam Từ Liêm,85.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Láng Hạ,Quận Đống Đa,80.0,-1.0
Tây Nam Hồ Linh Đàm,,,1.0,,,Quận Hoàng Mai,40.0,1.0
HH4 Linh Đàm,,,1.0,,,Quận Hoàng Mai,45.0,-1.0
Hei Tower Điện Lực,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,126.0,2.0
Stellar Garden,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,151.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,,Quận Hai Bà Trưng,98.0,-1.0
,,,2.0,,Phường Giảng Võ,Quận Ba Đình,60.0,1.0
Sunshine Riverside,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,90.0,2.0
The Zei Mỹ Đình,Tây,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,104.0,2.0
,,,2.0,19.0,Phường Kiến Hưng,Quận Hà Đông,70.0,-1.0
Bohemia Residence,,,3.0,,,Quận Thanh Xuân,136.0,2.0
The Garden Hills - 99 Trần Bình,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,81.0,2.0
VP5 Linh Đàm,,,2.0,,,Quận Hoàng Mai,72.0,2.0
Capital Elite,,,3.0,,,Quận Nam Từ Liêm,127.0,2.0
Sunshine Palace,,,2.0,,Phường Mai Động,Quận Hoàng Mai,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phường Nhân Chính,Quận Thanh Xuân,55.0,-1.0
C37 Bộ Công An - Bắc Hà Tower,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,93.0,-1.0
Hà Nội Center Point,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,88.0,2.0
,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,118.0,2.0
The Zenpark,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,90.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Trung Hòa,Quận Cầu Giấy,76.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Vạn Phúc,Quận Hà Đông,98.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Văn,Quận Nam Từ Liêm,137.0,-1.0
173 Xuân Thủy,Tây,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,100.0,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,,Huyện Gia Lâm,54.0,1.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,72.0,2.0
The Garden Hills - 99 Trần Bình,,,3.0,,,Quận Nam Từ Liêm,68.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,73.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,19.0,Phường Nhân Chính,Quận Thanh Xuân,90.0,-1.0
Resco Cổ Nhuế,Đông,,3.0,,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,123.0,2.0
A10-A14 Nam Trung Yên,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,75.0,2.0
Vinhomes Ocean Park,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,46.0,-1.0
N04 Trần Duy Hưng,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,155.0,3.0
,,,2.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,88.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Phường Văn Quán,Quận Hà Đông,80.0,-1.0
Đại Thanh,,,1.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,45.0,1.0
The Miami,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,1.0
Sunshine Green Iconic,,,2.0,,Phường Phúc Đồng,Quận Long Biên,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,155.0,-1.0
,,,2.0,,Phường Thanh Nhàn,Quận Hai Bà Trưng,40.0,1.0
,,,2.0,,Phường Thượng Đình,Quận Thanh Xuân,55.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Thành Công,Quận Ba Đình,80.0,-1.0
Eco Lake View,Bắc,,3.0,,Phường Đại Kim,Quận Hoàng Mai,74.0,2.0
Chung cư The Senique Hanoi,,,2.0,,,Huyện Gia Lâm,64.0,2.0
Nam Trung Yên,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Phường Tương Mai,Quận Hoàng Mai,91.0,-1.0
6th Element,,,2.0,,,Quận Tây Hồ,60.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,11.0,Phường Phương Canh,Quận Nam Từ Liêm,60.0,-1.0
Tây Hà Tower,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,125.0,2.0
Tòa Tháp Thiên Niên Kỷ,,,2.0,,Phường Yết Kiêu,Quận Hà Đông,75.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,72.0,-1.0
Mỹ Đình Pearl,,,2.0,,,Quận Nam Từ Liêm,73.0,2.0
,,,2.0,1.0,Phường Cầu Diễn,Quận Nam Từ Liêm,76.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Tân Mai,Quận Hoàng Mai,65.0,-1.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,67.0,2.0
Berriver Long Biên,,,3.0,,Phường Bồ Đề,Quận Long Biên,101.0,2.0
Xuân Mai Complex,,,2.0,,Phường Yên Nghĩa,Quận Hà Đông,55.0,2.0
Hateco Hoàng Mai,,,3.0,,Phường Yên Sở,Quận Hoàng Mai,107.0,2.0
Imperia Smart City,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,48.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,86.0,-1.0
Tây Nam Đại học Thương Mại,,,2.0,,Phường Mai Dịch,Quận Cầu Giấy,70.0,2.0
,,,2.0,21.0,Phường Hoàng Liệt,Quận Hoàng Mai,67.0,-1.0
D’. Le Roi Soleil,,,3.0,,Phường Quảng An,Quận Tây Hồ,111.0,3.0
The Miami,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,59.0,1.0
Dolphin Plaza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,133.0,2.0
Green Park Tower,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,105.0,-1.0
Dreamland Bonanza,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,72.0,2.0
BID Residence,,,2.0,,Phường La Khê,Quận Hà Đông,62.0,-1.0
The Miami,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,42.0,1.0
Hei Tower Điện Lực,,,2.0,,,Quận Thanh Xuân,68.0,2.0
BID Residence,,,3.0,,Phường La Khê,Quận Hà Đông,136.0,-1.0
Moonlight 1 - An Lạc Green Symphony,,,3.0,,Xã An Khánh,Huyện Hoài Đức,80.0,2.0
FLC Star Tower,,,2.0,,Phường Quang Trung,Quận Hà Đông,79.0,2.0
,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,100.0,2.0
Gamuda Gardens,,,3.0,,Phường Yên Sở,Quận Hoàng Mai,85.0,2.0
Chung cư Đại Thanh,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,60.0,2.0
Mỹ Đình I,,,3.0,,,Quận Nam Từ Liêm,76.0,2.0
Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,54.0,1.0
Chung cư The Wisteria,,,4.0,,Xã Di Trạch,Huyện Hoài Đức,145.0,2.0
Tứ Hiệp Plaza,,,3.0,,,Huyện Thanh Trì,84.0,2.0
,,,2.0,,Phường Nghĩa Đô,Quận Cầu Giấy,52.0,1.0
Đường Lý Nam Đế,,,2.0,,Phường Hàng Mã,Quận Hoàn Kiếm,60.0,-1.0
,,,2.0,,Phường Ngã Tư Sở,Quận Đống Đa,62.0,-1.0
La Casta Văn Phú,,,3.0,,Phường Phú La,Quận Hà Đông,111.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Trung Hòa,Quận Cầu Giấy,75.0,-1.0
,,,2.0,9.0,Phường Định Công,Quận Hoàng Mai,73.0,-1.0
Sakura Tower,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,100.0,2.0
Golden Field Mỹ Đình,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,106.0,2.0
Việt Hưng,,,2.0,,,Quận Long Biên,71.0,1.0
VP5 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,62.0,-1.0
Gemek Tower,,,2.0,,Xã An Khánh,Huyện Hoài Đức,62.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,25.0,Phường Cầu Diễn,Quận Nam Từ Liêm,62.0,-1.0
Seasons Avenue,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,111.0,2.0
,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,122.0,2.0
Vinhomes Gardenia,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,97.0,2.0
,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,146.0,-1.0
Mỹ Đình I,,,3.0,,,Quận Nam Từ Liêm,110.0,1.0
SDU 143 Trần Phú,,,2.0,,,Quận Hà Đông,53.0,2.0
VP3 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,93.0,2.0
Golden Palace Mễ Trì,,,3.0,,Phường Mễ Trì,Quận Nam Từ Liêm,117.0,-1.0
,,,3.0,,Phường Văn Quán,Quận Hà Đông,80.0,-1.0
,Nam,,3.0,,Phường Thịnh Liệt,Quận Hoàng Mai,70.0,2.0
,,,2.0,,Phường Thịnh Liệt,Quận Hoàng Mai,70.0,-1.0
789 Bộ Tổng Tham Mưu - BQP,,,3.0,,,Quận Nam Từ Liêm,108.0,2.0
Samsora Premier,,,2.0,,Phường Yết Kiêu,Quận Hà Đông,75.0,2.0
Green Stars,,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,66.0,2.0
,,,2.0,,Phường Phương Canh,Quận Nam Từ Liêm,60.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Văn,Quận Nam Từ Liêm,131.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Phường Đại Kim,Quận Hoàng Mai,127.0,-1.0
Home City,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,60.0,-1.0
Chung cư The Senique Hanoi,,,1.0,,,Huyện Gia Lâm,42.0,1.0
Lumi Hanoi,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,102.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,53.0,1.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,,Huyện Gia Lâm,70.0,2.0
The Zenpark,,,2.0,,,Huyện Gia Lâm,82.0,-1.0
Việt Đức Complex,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,80.0,2.0
Hồ Gươm Plaza,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,141.0,2.0
Thành Công Tower,,,2.0,,Phường Thành Công,Quận Ba Đình,122.0,-1.0
Moonlight 1 - An Lạc Green Symphony,,,2.0,,Xã Vân Canh,Huyện Hoài Đức,68.0,2.0
Masteri West Heights,,,1.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,27.0,1.0
Khu đô thị Mỹ Đình I,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,96.0,-1.0
BRG Diamond Residence,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,104.0,2.0
ĐTM Dịch Vọng,,,3.0,,,Quận Cầu Giấy,140.0,2.0
,,,2.0,,Phường Xuân Phương,Quận Nam Từ Liêm,63.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Quỳnh Lôi,Quận Hai Bà Trưng,50.0,-1.0
Vinhomes D'Capitale,Tây,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,99.0,2.0
,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,125.0,-1.0
Khu Ngoại Giao Đoàn,,,3.0,,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,130.0,2.0
Tây Hà Tower,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,118.0,2.0
Chung cư Viện 103,,,3.0,,Xã Tân Triều,Huyện Thanh Trì,112.0,2.0
The Garden Hills - 99 Trần Bình,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,66.0,2.0
The Sapphire-Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,74.0,2.0
Sunshine City,Nam,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,98.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,24.0,Phường Hoàng Liệt,Quận Hoàng Mai,82.0,-1.0
Ciputra Hà Nội,,,3.0,,Phường Phú Thượng,Quận Tây Hồ,145.0,2.0
Thanh Hà Mường Thanh,,,2.0,,,Quận Hà Đông,68.0,2.0
,,,2.0,14.0,Phường Mộ Lao,Quận Hà Đông,98.0,-1.0
VP5 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,61.0,2.0
Mulberry Lane,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,132.0,2.0
Happy Star Tower,,,3.0,,Phường Giang Biên,Quận Long Biên,77.0,2.0
Mulberry Lane,,,3.0,,,Quận Hà Đông,123.0,2.0
,,,4.0,18.0,Phường Quang Trung,Quận Hà Đông,114.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,7.0,Phường Phúc Diễn,Quận Bắc Từ Liêm,140.0,-1.0
VP3 Linh Đàm,Đông,,2.0,,,Quận Hoàng Mai,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,6.0,Phường Minh Khai,Quận Hai Bà Trưng,113.0,-1.0
Hemisco Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,82.0,2.0
,Tây,,2.0,,Phường Nghĩa Đô,Quận Cầu Giấy,70.0,1.0
Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,2.0
,,,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,70.0,-1.0
Tây Nam Hồ Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,64.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,7.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,-1.0
The Park Home,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,125.0,2.0
Hà Nội Paragon,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,140.0,-1.0
Eco Green City,,,2.0,,Xã Tân Triều,Huyện Thanh Trì,75.0,2.0
Osaka Complex,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,71.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thanh Xuân Bắc,Quận Thanh Xuân,80.0,-1.0
Eurowindow River Park,,,3.0,,Xã Đông Hội,Huyện Đông Anh,85.0,2.0
Hà Nội Paragon,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,140.0,2.0
Eurowindow River Park,,,3.0,,Xã Đông Hội,Huyện Đông Anh,98.0,2.0
IA20 Ciputra,Đông Nam,,3.0,16.0,Phường Phú Thượng,Quận Tây Hồ,92.0,-1.0
,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,90.0,2.0
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Trung Hòa,Quận Cầu Giấy,117.0,-1.0
Keangnam,,,3.0,,,Quận Nam Từ Liêm,118.0,2.0
Booyoung,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,107.0,2.0
Eco Lake View,,,3.0,,,Quận Hoàng Mai,103.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Thạch Bàn,Quận Long Biên,86.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phường Mộ Lao,Quận Hà Đông,101.0,-1.0
,,Giấy tờ hợp lệ,2.0,1.0,Phường Cầu Diễn,Quận Nam Từ Liêm,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Ngọc Khánh,Quận Ba Đình,100.0,-1.0
,,,3.0,,Phường Mai Dịch,Quận Cầu Giấy,75.0,-1.0
Discovery Complex,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,100.0,2.0
MHD Trung Văn,,,4.0,,Phường Trung Văn,Quận Nam Từ Liêm,136.0,-1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,94.0,-1.0
Golden Field Mỹ Đình,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,120.0,2.0
Vinhomes Skylake,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,65.0,2.0
Gemek Tower,,,2.0,,Xã An Khánh,Huyện Hoài Đức,67.0,2.0
Tây Hà Tower,,,3.0,,,Quận Nam Từ Liêm,106.0,2.0
Xuân Mai Riverside,,,2.0,,,Quận Hà Đông,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Giảng Võ,Quận Ba Đình,65.0,-1.0
,,,3.0,31.0,Phường Kiến Hưng,Quận Hà Đông,95.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Phúc La,Quận Hà Đông,81.0,-1.0
Vinhomes Gardenia,,,2.0,,,Quận Nam Từ Liêm,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng,Quận Cầu Giấy,81.0,-1.0
The Zenpark,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,74.0,2.0
GoldSeason 47 Nguyễn Tuân,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,76.0,-1.0
Golden Palace,Bắc,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,94.0,2.0
Mipec City View,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,51.0,2.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,63.0,2.0
,,,2.0,,Phường Bưởi,Quận Tây Hồ,55.0,1.0
Hà Nội Melody Residences,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,74.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,110.0,-1.0
Chung cư 24 Nguyễn Khuyến,,,2.0,,Phường Văn Quán,Quận Hà Đông,67.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,90.0,-1.0
173 Xuân Thủy,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,112.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Quang Trung,Quận Hà Đông,92.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,22.0,Phường La Khê,Quận Hà Đông,96.0,-1.0
Vinhomes Green Bay Mễ Trì,,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,60.0,2.0
Đường Trần Phú,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,141.0,-1.0
Khu nhà ở Hưng Thịnh,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,70.0,2.0
Nam Xa la,,,2.0,,,Quận Hà Đông,84.0,2.0
Trinity Tower,,,2.0,,,Quận Thanh Xuân,59.0,2.0
Phố Nguyễn Ngọc Vũ,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,78.0,-1.0
The Pavilion - Vinhomes Ocean Park,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,64.0,2.0
,,,3.0,7.0,Phường Hoàng Liệt,Quận Hoàng Mai,80.0,-1.0
Chung cư The Wisteria,,,2.0,,,Huyện Hoài Đức,83.0,2.0
,,,3.0,1.0,Phường Quang Trung,Quận Hà Đông,120.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phường Đại Kim,Quận Hoàng Mai,68.0,-1.0
,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,74.0,-1.0
Hà Nội Homeland,,,2.0,,Phường Thượng Thanh,Quận Long Biên,58.0,2.0
HH2 Linh Đàm,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,76.0,2.0
Golden Palace,Nam,,2.0,,Phường Mễ Trì,Quận Nam Từ Liêm,85.0,2.0
Xuân Mai Riverside,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,80.0,-1.0
Đường Nguyễn Trãi,,,2.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,95.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mộ Lao,Quận Hà Đông,122.0,-1.0
Thanh Hà Mường Thanh,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,70.0,2.0
TĐC Hoàng Cầu,Bắc,,2.0,,Phường Ô Chợ Dừa,Quận Đống Đa,61.0,1.0
FLC Landmark Tower,,,4.0,,,Quận Nam Từ Liêm,156.0,3.0
Văn Khê,,,3.0,,,Quận Hà Đông,119.0,2.0
KĐT Xa La,,,2.0,,,Quận Hà Đông,54.0,1.0
Trung Hòa Nhân Chính,,,2.0,,,Quận Cầu Giấy,78.0,2.0
Vườn Đào,,,1.0,,Phường Phú Thượng,Quận Tây Hồ,60.0,1.0
The Nine,,,3.0,,,Quận Cầu Giấy,100.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Phường Dịch Vọng,Quận Cầu Giấy,66.0,-1.0
Hà Nội Melody Residences,,,2.0,,,Quận Hoàng Mai,74.0,2.0
Gamuda Gardens,,,2.0,,,Quận Hoàng Mai,60.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Phương Mai,Quận Đống Đa,50.0,-1.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,,Quận Đống Đa,122.0,2.0
96 Định Công,,,3.0,,,Quận Thanh Xuân,100.0,2.0
Tây Nam Hồ Linh Đàm,,,1.0,,Phường Hoàng Liệt,Quận Hoàng Mai,40.0,1.0
Vinhomes Smart City,,,3.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,75.0,2.0
The Golden Palm Lê Văn Lương,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,125.0,2.0
FLC Complex Phạm Hùng,,,2.0,,,Quận Nam Từ Liêm,62.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,4.0,10.0,Phường Dịch Vọng,Quận Cầu Giấy,150.0,-1.0
Xuân Mai Complex,,,2.0,,Phường Dương Nội,Quận Hà Đông,70.0,-1.0
Chung cư Đại Thanh,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,60.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,30.0,Phường Yên Phụ,Quận Tây Hồ,140.0,-1.0
,,,3.0,30.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,105.0,-1.0
6 Đội Nhân,,,3.0,,Phường Vĩnh Phúc,Quận Ba Đình,95.0,2.0
Imperia Garden,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,118.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,7.0,Phường Việt Hưng,Quận Long Biên,92.0,-1.0
MHD Trung Văn,Đông,,3.0,,,Quận Nam Từ Liêm,105.0,2.0
Ecolife Capitol,,,2.0,,Phường Trung Văn,Quận Nam Từ Liêm,76.0,-1.0
Anland Complex,,,2.0,,,Quận Hà Đông,54.0,1.0
Discovery Complex,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,94.0,2.0
,,,4.0,12.0,Phường Cầu Diễn,Quận Nam Từ Liêm,120.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,4.0,Phường Chương Dương,Quận Hoàn Kiếm,90.0,-1.0
Khai Sơn City,,,2.0,,,Quận Long Biên,77.0,2.0
,,,2.0,6.0,Phường Đại Kim,Quận Hoàng Mai,57.0,-1.0
K35 Tân Mai,,,2.0,,Phường Tương Mai,Quận Hoàng Mai,78.0,-1.0
Làng Việt Kiều Châu Âu Euroland,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,119.0,2.0
Khai Sơn City,,,3.0,,Phường Ngọc Thụy,Quận Long Biên,101.0,2.0
,,,2.0,25.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,52.0,-1.0
Nhà ở xã hội Bộ Tư lệnh Tăng Thiết Giáp,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,70.0,2.0
Yên Hòa,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,94.0,2.0
Phường Dịch Vọng Hậu,,,2.0,,,Quận Cầu Giấy,75.0,-1.0
KĐT Văn Phú,,,2.0,,,Quận Hà Đông,69.0,2.0
KĐT Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Kim Mã,Quận Ba Đình,33.0,-1.0
Đồng Phát Park View Tower,,,2.0,,,Quận Hoàng Mai,80.0,2.0
Masteri Water Front,,,2.0,,Xã Đa Tốn,Huyện Gia Lâm,66.0,2.0
ĐTM Dịch Vọng,,,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,70.0,1.0
The Golden Palm Lê Văn Lương,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,100.0,2.0
,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,60.0,1.0
