duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom
Việt Hưng,,,2.0,,,,Quận Long Biên,71.0,2.93,1.0
The Sun Mễ Trì,,,3.0,,,Phường Mễ Trì,Quận Nam Từ Liêm,99.0,5.2,2.0
Dream Town,,,3.0,,Đường 70,Phường Tây Mỗ,Quận Nam Từ Liêm,98.0,3.99,3.0
ĐTM Dịch Vọng,,,3.0,,,,Quận Cầu Giấy,90.0,6.3,2.0
,,,2.0,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,64.0,2.68,2.0
Moonlight 1 - An Lạc Green Symphony,,,2.0,,,Xã Vân Canh,Huyện Hoài Đức,68.0,4.2,2.0
Phenikaa Hòa Lạc,,,1.0,,,Xã Thạch Hòa,Huyện Thạch Thất,47.0,0.95,1.0
Imperia Sky Garden,,,3.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,88.0,5.2,2.0
Thanh Hà Mường Thanh,,,3.0,,,,Quận Hà Đông,70.0,2.17,2.0
Chung cư Đại Thanh,,,2.0,,,,Huyện Thanh Trì,45.0,2.02,1.0
Imperia Sky Garden,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,81.0,4.5,2.0
Imperia Sky Garden,,,3.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,103.0,6.0,2.0
Sunshine City,,,3.0,,,Phường Đông Ngạc,Quận Bắc Từ Liêm,104.0,7.1,2.0
Thành Phố Giao Lưu,,,2.0,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,72.0,3.88,2.0
HH4 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.39,2.0
Tây Nam Đại học Thương Mại,,,2.0,,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,70.0,4.2,2.0
Trung Hòa Nhân Chính,,,2.0,,,,Quận Cầu Giấy,67.0,4.6,2.0
Vinhomes Gardenia,,,3.0,,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm,102.0,7.8,2.0
Lancaster Luminaire,,,1.0,,Đường Láng,Phường Láng Thượng,Quận Đống Đa,45.0,3.5,1.0
Trung Hòa Nhân Chính,Đông,,2.0,,Phố Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,67.0,4.65,2.0
Mỹ Đình Pearl,,,3.0,,,Phường Phú Đô,Quận Nam Từ Liêm,150.0,8.5,2.0
Trung Yên I,,,3.0,,,Phường Yên Hòa,Quận Cầu Giấy,120.0,6.5,2.0
KĐT Xa La,,,2.0,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,56.0,2.48,1.0
Vinhomes Skylake,,,1.0,,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm,45.0,5.0,1.0
Mailand Hanoi City,Tây,,2.0,,,,Huyện Hoài Đức,110.0,5.5,2.0
The Park Home,,,2.0,,,,Quận Cầu Giấy,81.0,6.5,2.0
Vinhomes Smart City,Đông Bắc,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,28.0,2.1,1.0
Newhouse Xa La,,,2.0,,,Phường Phúc La,Quận Hà Đông,64.0,3.1,2.0
Việt Hưng,,,2.0,,,,Quận Long Biên,72.0,2.8,1.0
Ruby City,,,3.0,,,,Quận Long Biên,63.0,2.6,2.0
Văn Phú Victoria,,,3.0,,,,Quận Hà Đông,105.0,5.3,2.0
Hà Nội Homeland,,,3.0,,,Phường Thượng Thanh,Quận Long Biên,92.0,4.65,2.0
Anland Premium,,,3.0,,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,75.0,4.8,2.0
Vinhomes Gardenia,,,3.0,,,,Quận Nam Từ Liêm,110.0,8.2,2.0
Trung Hòa Nhân Chính,Đông Nam,,2.0,,Đường Nguyễn Thị Định,Phường Trung Hòa,Quận Cầu Giấy,70.0,4.65,2.0
Vinhomes Ocean Park Gia Lâm,,,1.0,,,Xã Dương Xá,Huyện Gia Lâm,38.0,2.1,1.0
Samsora Premier,Tây,,3.0,,Đường Chu Văn An,Phường Yết Kiêu,Quận Hà Đông,82.0,4.9,2.0
HUD3 Nguyễn Đức Cảnh,,,3.0,,Đường Nguyễn Đức Cảnh,Phường Tương Mai,Quận Hoàng Mai,96.0,5.88,2.0
KĐT Văn Phú,,,3.0,,Đường Văn Phú,Phường Quang Trung,Quận Hà Đông,118.0,5.4,3.0
Times Tower - HACC1 Complex Building,,,3.0,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,107.0,7.35,2.0
Chung cư The Senique Hanoi,,,1.0,,,,Huyện Gia Lâm,42.0,3.2,1.0
Trung Hòa Nhân Chính,,,2.0,,Phố Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,67.0,4.65,2.0
Mulberry Lane,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,117.0,7.68,2.0
Golden Field Mỹ Đình,,,2.0,,,Phường Cầu Diễn,Quận Nam Từ Liêm,74.0,4.35,2.0
Imperia Sky Garden,,,3.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,103.0,6.5,2.0
Imperia Smart City,,,2.0,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,3.5,1.0
The Two Residence - Gamuda Garden,,,2.0,,Đường Pháp Vân,Phường Trần Phú,Quận Hoàng Mai,78.0,5.27,2.0
Phenikaa Hòa Lạc,,,2.0,,,Xã Thạch Hòa,Huyện Thạch Thất,56.0,1.2,1.0
C37 Bộ Công An - Bắc Hà Tower,,,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,95.0,5.3,2.0
Vinhomes D'Capitale,,,3.0,,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,99.0,9.1,2.0
Ecohome 2,,,2.0,,Đường Tân Xuân,Phường Đông Ngạc,Quận Bắc Từ Liêm,63.0,3.19,2.0
KĐT Linh Đàm,Tây,,2.0,,,,Quận Hoàng Mai,65.0,3.2,2.0
Imperia Sky Garden,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,60.0,3.5,1.0
The Sun Mễ Trì,,,3.0,,,Phường Mễ Trì,Quận Nam Từ Liêm,75.0,4.6,2.0
,,,3.0,,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 1,Quận Nam Từ Liêm,94.0,5.6,2.0
Imperia Sky Garden,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,81.0,4.2,2.0
Vinhomes West Point,,,2.0,,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm,63.0,5.1,2.0
Hà Đông Park View,,,2.0,,Đường Lê Trọng Tấn,Phường Phú La,Quận Hà Đông,57.0,3.2,2.0
Xuân Mai Complex,,,3.0,,Đường Tố Hữu,Phường Yên Nghĩa,Quận Hà Đông,110.0,4.0,2.0
D’. El Dorado,,,1.0,,,Phường Phú Thượng,Quận Tây Hồ,33.0,3.3,
Hồng Hà Eco City,,,3.0,,Đường Nguyễn Bồ,Xã Tứ Hiệp,Huyện Thanh Trì,108.0,5.35,2.0
Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,55.0,2.78,2.0
Roman Plaza,,,2.0,,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,70.0,5.0,2.0
Hinode Royal Park,,,2.0,,Đường 32,Xã Di Trạch,Huyện Hoài Đức,73.0,4.7,2.0
Anland Premium,,,2.0,,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,76.0,4.35,2.0
,,,2.0,,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,55.0,4.3,1.0
Royal City,,,2.0,,,,Quận Thanh Xuân,104.0,9.0,2.0
90 Nguyễn Tuân,,,3.0,,,,Quận Thanh Xuân,97.0,7.3,2.0
Lumi Elite,,,1.0,,,,Quận Nam Từ Liêm,46.0,3.91,1.0
KĐT Xa La,,,2.0,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,70.0,3.05,2.0
Vinhomes Gardenia,,,3.0,,,,Quận Nam Từ Liêm,100.0,8.1,2.0
Phenikaa Hòa Lạc,Đông,,2.0,,,Xã Thạch Hòa,Huyện Thạch Thất,54.0,1.43,1.0
KĐT Tây Hồ Tây - Starlake Hà Nội,Đông,,3.0,,,Phường Xuân La,Quận Tây Hồ,101.0,7.07,2.0
KĐT Xa La,,,2.0,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,63.0,2.65,1.0
Times City - Park Hill,,,3.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,104.0,8.0,2.0
Pandora 53 Triều Khúc,,,2.0,,Đường Triều Khúc,Phường Thanh Xuân Nam,Quận Thanh Xuân,83.0,5.0,2.0
The Pride,,,2.0,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,75.0,4.0,2.0
Green Diamond 93 Láng Hạ,,,1.0,,Phố Láng Hạ,Phường Láng Hạ,Quận Đống Đa,47.0,5.4,1.0
The Park Home,,,3.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,134.0,10.0,2.0
Mulberry Lane,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,130.0,6.5,2.0
Sunrise Building 3,,,2.0,,,,Quận Long Biên,76.0,3.5,1.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,,,Quận Đống Đa,125.0,8.0,2.0
The Tonkin - Vinhomes Smart City,,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,70.0,4.5,2.0
KĐT Trung Văn - Hancic,Bắc,,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,130.0,7.0,2.0
Pandora 53 Triều Khúc,,,2.0,,,,Quận Thanh Xuân,83.0,5.6,2.0
The Sakura - Vinhomes Smart City,,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,3.25,1.0
,,,2.0,,,,Quận Hà Đông,70.0,2.75,2.0
Ecolife Capitol,,,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,110.0,6.1,2.0
Sunshine City,,,3.0,,,,Quận Bắc Từ Liêm,98.0,7.6,2.0
Văn Phú Victoria,,,4.0,,Đường Lê Trọng Tấn,Phường Phú La,Quận Hà Đông,121.0,6.4,2.0
Mipec City View,,,2.0,,,Phường Kiến Hưng,Quận Hà Đông,51.0,3.1,1.0
Thành Phố Giao Lưu,,,2.0,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,67.0,3.9,2.0
Nam Trung Yên,,,2.0,,,,Quận Cầu Giấy,60.0,3.6,1.0
D’. El Dorado II,,,2.0,,,,Quận Tây Hồ,76.0,6.0,2.0
Seasons Avenue,,,3.0,,,,Quận Hà Đông,112.0,6.7,2.0
,,,3.0,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,75.0,3.9,2.0
ĐTM Dịch Vọng,,,2.0,,,,Quận Cầu Giấy,93.0,5.6,2.0
KĐT Tây Hồ Tây - Starlake Hà Nội,Đông,,2.0,,,Phường Xuân La,Quận Tây Hồ,101.0,9.0,2.0
Chung cư Đại Thanh,,,2.0,,,,Huyện Thanh Trì,60.0,2.65,2.0
N01-T2 Ngoại Giao Đoàn,,,3.0,,,Phường Xuân Tảo,Quận Bắc Từ Liêm,132.0,8.6,2.0
Tòa nhà 197 Trần Phú,,,2.0,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,89.0,4.4,
Thanh Hà Mường Thanh,,,2.0,,,Phường Kiến Hưng,Quận Hà Đông,72.0,2.65,2.0
The Golden Palm Lê Văn Lương,,,2.0,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,84.0,5.5,2.0
The Emerald CT8 Mỹ Đình,,,2.0,,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,81.0,4.99,2.0
Hà Nội Paragon,Bắc,,3.0,,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,138.0,7.6,2.0
Vinhomes Smart City,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,43.0,2.6,1.0
,,,,,,Phường Dịch Vọng,Quận Cầu Giấy,110.0,5.0,
PCC1 Triều Khúc,,,2.0,,Đường Triều Khúc,Phường Thanh Xuân Nam,Quận Thanh Xuân,77.0,4.95,2.0
Mulberry Lane,,,2.0,,,Phường Mỗ Lao,Quận Hà Đông,90.0,5.0,2.0
Golden Palace,Nam,,3.0,,,,Quận Nam Từ Liêm,105.0,6.5,2.0
Hà Thành Plaza,,,3.0,,Phố Thái Thịnh,Phường Thịnh Quang,Quận Đống Đa,114.0,8.0,2.0
The Zurich - Vinhomes Ocean Park,,,3.0,,,Xã Đa Tốn,Huyện Gia Lâm,87.0,5.0,
GoldSeason,,,3.0,,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân,102.0,5.6,2.0
N01-T4 Ngoại Giao Đoàn,,,3.0,,,Phường Xuân Tảo,Quận Bắc Từ Liêm,101.0,8.9,2.0
Moonlight 1 - An Lạc Green Symphony,,,2.0,,,Xã Vân Canh,Huyện Hoài Đức,68.0,4.1,2.0
Cầu Giấy Center Point,,,3.0,,,,Quận Cầu Giấy,127.0,9.1,2.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,122.0,8.78,2.0
Roman Plaza,,,2.0,,,,Quận Nam Từ Liêm,70.0,4.7,2.0
Thành Phố Giao Lưu,,,2.0,,,,Quận Bắc Từ Liêm,70.0,3.7,2.0
Ecolife Capitol,,,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,111.0,6.0,2.0
CT3 Cổ Nhuế,,,2.0,,,,Quận Bắc Từ Liêm,71.0,4.65,2.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,,Xã Dương Xá,Huyện Gia Lâm,55.0,2.6,1.0
Roman Plaza,,,2.0,,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,70.0,4.95,2.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,,,Quận Đống Đa,130.0,8.5,2.0
Mulberry Lane,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,154.0,8.5,3.0
Chung cư The Senique Hanoi,,,1.0,,,,Huyện Gia Lâm,42.0,3.2,1.0
Chung cư Đại Thanh,,,3.0,,,,Huyện Thanh Trì,77.0,3.15,2.0
Khai Sơn City,,,3.0,,,,Quận Long Biên,96.0,6.15,3.0
ĐTM Dịch Vọng,Đông,,3.0,,,Phường Dịch Vọng,Quận Cầu Giấy,110.0,7.3,2.0
Iris Garden,Bắc,,3.0,,Đường Trần Hữu Dực,Phường Cầu Diễn,Quận Nam Từ Liêm,135.0,7.6,2.0
BRG Diamond Residence,,,2.0,,,,Quận Thanh Xuân,63.0,6.1,1.0
The Tonkin - Vinhomes Smart City,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,29.0,1.88,1.0
The Golden Palm Lê Văn Lương,,,,,,,Quận Thanh Xuân,83.0,6.5,
,,,2.0,,Phố Tôn Đức Thắng,Phường Hàng Bột,Quận Đống Đa,46.0,2.0,
The Sun Mễ Trì,,,2.0,,,Phường Mễ Trì,Quận Nam Từ Liêm,81.0,4.5,2.0
Eco Green City,,,2.0,,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì,75.0,4.5,2.0
ĐTM Dịch Vọng,,,2.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,97.0,5.7,2.0
,Tây,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,61.0,3.83,2.0
,,,3.0,,,Phường Định Công,Quận Hoàng Mai,98.0,4.6,2.0
Mulberry Lane,,,3.0,,,,Quận Hà Đông,123.0,6.0,2.0
Vinhomes Ocean Park Gia Lâm,Tây,,2.0,,,Xã Dương Xá,Huyện Gia Lâm,55.0,2.7,1.0
Jade Square,,,2.0,,Đường Nguyễn Đình Tứ,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,62.0,5.02,2.0
Imperia Smart City,,,2.0,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,2.9,2.0
Samsora Premier,,,2.0,,Đường Chu Văn An,Phường Yết Kiêu,Quận Hà Đông,83.0,4.2,2.0
Chung cư 622 Minh Khai,Bắc,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,68.0,3.95,2.0
Hinode City,,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,77.0,6.5,2.0
Vinhomes Smart City,,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,53.0,2.8,1.0
Sudico Mỹ Đình,,,3.0,,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm,114.0,5.5,2.0
Masteri West Heights,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,33.0,1.78,1.0
CT2 Trung Văn Viettel Hancic,,,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,131.0,7.0,2.0
Tòa nhà 197 Trần Phú,,,2.0,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,72.0,3.6,2.0
Vinhomes Smart City,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,41.0,2.95,1.0
CT2 Trung Văn - Vinaconex 3,,,3.0,,,,Quận Nam Từ Liêm,136.0,7.5,3.0
Hà Nội Melody Residences,,,2.0,,Đường Bằng Liệt,Phường Hoàng Liệt,Quận Hoàng Mai,82.0,4.0,2.0
Imperia Sola Park,,,2.0,,,,Quận Nam Từ Liêm,54.0,3.7,2.0
Thăng Long Number One,,,3.0,,,,Quận Cầu Giấy,110.0,6.6,2.0
Hoàng Thành Pearl,,,3.0,,Đường Nguyễn Văn Giáp,Phường Cầu Diễn,Quận Nam Từ Liêm,110.0,6.8,2.0
Hinode Royal Park,,,,,Đường Quốc lộ 32,Xã Di Trạch,Huyện Hoài Đức,138.0,8.56,
Mỹ Đình Pearl,,,3.0,,,Phường Phú Đô,Quận Nam Từ Liêm,110.0,5.6,
Licogi 13 Tower,,,2.0,,,,Quận Thanh Xuân,82.0,4.4,2.0
The Zenpark,,,1.0,,,,Huyện Gia Lâm,52.0,2.93,1.0
Kosmo Tây Hồ,,,2.0,,Đường Xuân La,Phường Xuân Tảo,Quận Bắc Từ Liêm,87.0,7.4,2.0
KĐT Xa La,,,2.0,,Phố Phùng Hưng,Phường Phúc La,Quận Hà Đông,78.0,3.22,2.0
,,,2.0,,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,55.0,2.13,2.0
,,,2.0,,Đường Võ Chí Công,Phường Xuân La,Quận Tây Hồ,76.0,8.85,2.0
Riverside Garden,,,3.0,,Phố Vũ Tông Phan,Phường Khương Đình,Quận Thanh Xuân,126.0,7.0,2.0
Anland LakeView,,,2.0,,,,Quận Hà Đông,80.0,4.5,2.0
Booyoung,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,95.0,6.0,2.0
ĐTM Dịch Vọng,,,2.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,90.0,5.9,2.0
Chung cư Viện 103,,,2.0,,Đường Yên Xá,Xã Tân Triều,Huyện Thanh Trì,80.0,4.1,2.0
Rainbow Linh Đàm,,,,,Đường Linh Đường,,Quận Hoàng Mai,90.0,5.3,
Riverside Garden,,,3.0,,Phố Vũ Tông Phan,Phường Khương Đình,Quận Thanh Xuân,126.0,7.0,2.0
Hà Nội Paragon,,,3.0,,,,Quận Cầu Giấy,138.0,7.4,2.0
,,,3.0,,Đường Cầu Bươu,Xã Thanh Liệt,Huyện Thanh Trì,60.0,4.0,2.0
The Sapphire-Vinhomes Smart City,,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,3.55,2.0
,,,4.0,,Đường Nguyễn Khoái,Phường Bạch Đằng,Quận Hai Bà Trưng,98.0,3.9,2.0
The Pride,,,3.0,,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,95.0,4.6,2.0
Mulberry Lane,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,127.0,6.9,2.0
Chung cư The Wisteria,,,4.0,,Đường 32,Xã Di Trạch,Huyện Hoài Đức,138.0,7.2,3.0
Yên Hòa,,,3.0,,Đường Dương Đình Nghệ,Phường Yên Hòa,Quận Cầu Giấy,100.0,6.5,2.0
The Garden Hills - 99 Trần Bình,,,2.0,,,,Quận Nam Từ Liêm,65.0,4.49,2.0
PentStudio,,,2.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,76.0,7.0,2.0
Eco Green City,,,2.0,,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì,75.0,3.5,2.0
Ecolife Capitol,,,2.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,75.0,4.9,2.0
The Garden Hills - 99 Trần Bình,,,2.0,,,,Quận Nam Từ Liêm,66.0,4.2,2.0
Golden Palace,,,2.0,,,,Quận Nam Từ Liêm,94.0,5.5,2.0
Dolphin Plaza,Tây,,3.0,,Phố Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,133.0,6.8,2.0
Goldmark City,,,3.0,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,110.0,5.5,2.0
Home City - Trung Kính Complex,,,3.0,,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,98.0,6.8,2.0
Golden Palace,,,3.0,,,Phường Mễ Trì,Quận Nam Từ Liêm,105.0,5.78,2.0
Golden Palace,Bắc,,2.0,,,Phường Mễ Trì,Quận Nam Từ Liêm,94.0,5.5,2.0
Tòa nhà 197 Trần Phú,,,3.0,,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,89.0,4.4,2.0
,,,3.0,,Đường Lưu Hữu Phước,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,6.15,2.0
Chung cư Đại Thanh,,,2.0,,,,Huyện Thanh Trì,45.0,2.02,1.0
Chung cư Ruby City CT3,,,2.0,,Đường Phúc Lợi,Phường Giang Biên,Quận Long Biên,54.0,2.5,2.0
Yên Hòa Condominium,,,3.0,,Đường Dương Đình Nghệ,Phường Yên Hòa,Quận Cầu Giấy,100.0,5.7,2.0
Trung Hòa Nhân Chính,,,2.0,,Phố Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,70.0,4.0,2.0
D11 Sunrise Building,,,3.0,,Đường Trần Thái Tông,Phường Dịch Vọng Hậu,Quận Cầu Giấy,100.0,6.5,2.0
Rice City Linh Đàm,,,2.0,,,Phường Hoàng Liệt,Quận Hoàng Mai,70.0,4.2,2.0
ĐTM Dịch Vọng,,,2.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,80.0,5.7,2.0
Nam Trung Yên,,,2.0,,Đường Phạm Hùng,Phường Trung Hòa,Quận Cầu Giấy,60.0,4.25,2.0
Seasons Avenue,,,3.0,,,,Quận Hà Đông,95.0,7.0,2.0
Roman Plaza,,,3.0,,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,99.0,6.7,3.0
Mỹ Đình Pearl,,,2.0,,,Phường Phú Đô,Quận Nam Từ Liêm,73.0,5.2,2.0
Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,65.0,2.89,2.0
The Emerald CT8 Mỹ Đình,,,4.0,,,,Quận Nam Từ Liêm,142.0,9.8,3.0
Tòa Tháp Thiên Niên Kỷ,,,2.0,,Đường Quang Trung,Phường Yết Kiêu,Quận Hà Đông,62.0,4.3,2.0
Văn Phú Victoria,,,4.0,,Đường Lê Trọng Tấn,Phường Phú La,Quận Hà Đông,135.0,6.5,2.0
,,,2.0,,,Phường Đại Mỗ,Quận Nam Từ Liêm,53.0,2.7,1.0
Vinhomes Smart City,,,2.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,53.0,2.45,1.0
Goldmark City,,,3.0,,,,Quận Bắc Từ Liêm,130.0,7.5,2.0
Times City,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,108.0,8.5,2.0
Mỹ Đình Pearl,,,1.0,,,Phường Phú Đô,Quận Nam Từ Liêm,50.0,3.95,1.0
,,,3.0,,Phố Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân,98.0,8.1,2.0
D11 Sunrise Building,,,3.0,,Đường Trần Thái Tông,Phường Dịch Vọng Hậu,Quận Cầu Giấy,100.0,6.5,2.0
M3 - M4 Nguyễn Chí Thanh,,,3.0,,,,Quận Đống Đa,130.0,8.0,2.0
Hà Nội Melody Residences,,,2.0,,Đường Bằng Liệt,Phường Hoàng Liệt,Quận Hoàng Mai,74.0,4.07,2.0
Mulberry Lane,,,3.0,,,,Quận Hà Đông,154.0,8.5,2.0
Thăng Long Number One,,,,,,,Quận Cầu Giấy,117.0,7.6,
Capital Elite,,,3.0,,Đường Phạm Hùng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,8.5,
,,,3.0,,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,125.0,6.25,2.0
90 Nguyễn Tuân,,,2.0,,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân,70.0,5.1,2.0
VC7 Housing Complex - 136 Hồ Tùng Mậu,,,4.0,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,150.0,7.7,2.0
Mulberry Lane,,,3.0,,,Phường Mỗ Lao,Quận Hà Đông,154.0,8.7,3.0
Văn Phú Victoria,,,3.0,,Đường Lê Trọng Tấn,Phường Phú La,Quận Hà Đông,118.0,5.5,2.0
Imperia Smart City,,,2.0,,Đường Đại lộ Thăng Long,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,3.3,1.0
Star Tower,,,2.0,,Đường Dương Đình Nghệ,Phường Yên Hòa,Quận Cầu Giấy,99.0,7.0,2.0
Vinhomes D'Capitale,,,3.0,,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,93.0,8.0,2.0
Mỹ Đình Plaza 2,,,3.0,,,,Quận Nam Từ Liêm,105.0,6.3,2.0
Eco City Việt Hưng,,,2.0,,,Phường Giang Biên,Quận Long Biên,78.0,3.55,2.0
The Sapphire-Vinhomes Smart City,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,46.0,2.5,
Mỹ Sơn Tower,,,3.0,,Đường Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,100.0,3.7,2.0
Golden Land,,,4.0,,Đường Nguyễn Trãi,Phường Thanh Xuân Trung,Quận Thanh Xuân,116.0,7.7,3.0
Eco City Việt Hưng,,,2.0,,,Phường Giang Biên,Quận Long Biên,73.0,3.39,2.0
Tràng An Complex,,,,,Phố Phùng Chí Kiên,Phường Nghĩa Đô,Quận Cầu Giấy,90.0,6.5,
IA20 Ciputra,,,,,Đường Phạm Văn Đồng,Phường Đông Ngạc,Quận Bắc Từ Liêm,107.0,5.65,
The Miami,,,1.0,,,Phường Tây Mỗ,Quận Nam Từ Liêm,33.0,1.66,1.0
KĐT Xa La,,,2.0,,,,Quận Hà Đông,62.0,2.85,1.0
Trung Hòa Nhân Chính,,,3.0,,Phố Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,107.0,7.15,2.0
